District,rep_party_2012,GOP2012,DEM2012,GOP_spend_dif_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,open_seat_2012,winning_party_2012,rep_party_2014,GOP2014,DEM2014,GOP_spend_dif_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016,DEM2016,GOP_spend_dif_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,open_seat_2016,winning_party_2016,rep_party_2018,GOP2018,DEM2018,GOP_spend_dif_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,open_seat_2018,winning_party_2018,COOK_PVI,white,black,latino,asian and pacific island,native,other,bach degree or higher among 25up,whiteBA,median_income,noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
AR2,R,1659463.02,238531.58,1420931.44,58.3,41.7,16.6,,R,Open-Used to be GOP,4733038.85,3324545.26,1408493.59,51.9,43.6,8.3,,R,R,1640782.53,104650.83,1536131.7,58.3,36.8,21.5,,R,GOP,4079890.86,3221476.78,858414.08,54.2,45.8,8.4,0,R,7,73.7,21.2,2.4,1,0.3,1.4,30,32.5,49498,49.7,10.72,11.83,9.49,Rural-suburban mix
AR3,R,0,0,0,100,0,100,,R,R,0,0,0,79.4,0,79.4,,R,R,0,0,0,77.3,0,77.3,,R,GOP,1183674,266133,917541,67.5,32.5,35,0,R,19,86.2,2.9,5.9,1.9,1.1,2,26.9,28.8,47903,61.3,31.43,33.88,29.99,Rural-suburban mix
AR4,Open Post-Redistrict,2097955.54,98039.53,1999916.01,61.9,38.1,23.8,,R,Open-Used to be GOP,994205.74,1271468.78,-277263.04,53.7,42.6,11.1,,R,R,0,0,0,74.9,0,74.9,,R,GOP,1257092,147701,1109391,68.7,31.3,37.4,0,R,17,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17,39586,63.4,32.83,25.95,22.54,Pure rural
CA1,Open Post-Redistrict,775941.69,192924.1,583017.59,57.4,42.6,14.8,,R,R,730253.27,233970.36,496282.91,61,39,22,,R,R,808869.52,134916.57,673952.95,59.1,40.9,18.2,,R,GOP,1076634.36,1141393.32,-64758.96,55.4,44.6,10.8,0,R,11,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,61.4,19.63,16.29,11.2,Rural-suburban mix
CA2,Open Post-Redistrict,268634.36,1262439.87,-993805.51,28.8,71.2,-42.4,,D,D,5462,889497.53,-884035.53,25,75,-50,,D,D,4228,757560.62,-753332.62,23.1,76.9,-53.8,,D,DEM,3284,681375,-678091,23.9,76.1,-52.2,0,D,-22,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,43.5,-45.69,-42.08,-46,Rural-suburban mix
CA3,D,1362139.88,2095661.97,-733522.09,45.8,54.2,-8.4,,D,D,1606559.31,1322634.27,283925.04,47.3,52.7,-5.4,,D,D,380024.03,879539.66,-499515.63,40.6,59.4,-18.8,,D,DEM,26905,815931,-789026,42.6,57.4,-14.8,0,D,-5,58.8,6.8,19.6,10.5,0.8,3.5,25.1,28.5,61508,41.9,-12.6,-11.21,-12.6,Rural-suburban mix
CA4,R,1125498.34,56622.4,1068875.94,61.1,38.9,22.2,,R,R,17900,0,17900,100,0,100,,R,R,1000517.91,90885.98,909631.93,62.7,37.3,25.4,,R,GOP,1772856,4421484.24,-2648628.24,54.8,45.2,9.6,0,R,10,82.3,1.3,9.1,4,0.9,2.4,33.3,33.7,74074,54.5,14.75,18.34,11.3,Rural-suburban mix
CA5,D,9829.06,1617250.71,-1607421.65,25.5,74.5,-49,,D,D,0,0,0,0,75.7,-75.7,,D,D,2700,2015932.06,-2013232.06,23.1,76.9,-53.8,,D,DEM,5000,1912461.69,-1907461.69,21.7,78.3,-56.6,0,D,-21,61.8,6.6,16.8,11,0.5,3.3,31.2,37.5,73006,38.5,-44.87,-42.29,-44.2,Dense suburban
CA6,D,29001.48,858322.9,-829321.42,24.9,75.1,-50.2,,D,D,20950.18,982391.48,-961441.3,27.3,72.7,-45.4,,D,D,2805,1003549.57,-1000744.57,24.6,75.4,-50.8,,D,DEM,0,1075075,-1075075,19.1,80.9,-61.8,0,D,-21,46.3,13.6,20.2,15.8,0.5,3.7,27.5,36.6,51932,29.2,-44.75,-40.86,-38.3,Urban-suburban mix
CA7,R,5654792.94,8743282.09,-3088489.15,48.3,51.7,-3.4,,D,D,15199672.86,10711712.28,4487960.58,49.6,50.4,-0.8,,D,D,6420966.14,8009833.21,-1588867.07,48.8,51.2,-2.4,,D,DEM,554516.1,1739117,-1184600.9,45.7,54.3,-8.6,0,D,-3,61.6,7.6,13,13.7,0.5,3.5,32.9,34.1,68735,40.5,-11.45,-3.94,-5.5,Dense suburban
CA8,Open Post-Redistrict,757880,89596,668284,100,0,100,,R,R,303183.16,6104,297079.16,67.6,32.4,35.2,,R,R,909676.99,33117.31,876559.68,62.3,37.7,24.6,,R,GOP,1690371.81,15500,1674871.81,60.2,39.8,20.4,0,R,9,56.2,8,29.8,3.1,0.9,1.9,17.1,20.6,49194,44.5,15.13,13.97,13.2,Rural-suburban mix
CA9,D,6157974.19,3403298.95,2754675.24,44.4,55.6,-11.2,,D,D,62057.76,1121208.54,-1059150.78,47.6,52.4,-4.8,,D,D,67038.68,1154434.25,-1087395.57,42.6,57.4,-14.8,,D,DEM,52172,1168543,-1116371,44.6,55.4,-10.8,0,D,-8,45.7,9.7,27.3,13.9,0.4,3,19.1,24.4,61454,34.4,-18.57,-17.71,-15.5,Dense suburban
CA10,R,7022692.84,5386588.64,1636104.2,52.7,47.3,5.4,,R,R,1820781.93,1300357.26,520424.67,56.1,43.9,12.2,,R,R,7831831.63,6295292.34,1536539.29,51.7,48.3,3.4,,R,DEM,11885139.5,16487583.27,-4602443.77,48.7,51.3,-2.6,0,D,0,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21,60235,43.8,-3,-3.61,-2.7,Dense suburban
CA11,D,0,887797.61,-887797.61,30.3,69.7,-39.4,,D,Open-Used to be Dem,118994.01,541227.55,-422233.54,32.7,67.3,-34.6,,D,D,7789.5,425816.84,-418027.34,27.9,72.1,-44.2,,D,DEM,0,466063,-466063,26.8,73.2,-46.4,0,D,-21,57.6,9.5,16,13.3,0.3,3.4,43.6,56.5,86000,25,-48.85,-37.68,-40.4,Urban-suburban mix
CA12,D,486543.85,2007221.66,-1520677.81,14.9,85.1,-70.2,,D,D,600046.35,2395066.14,-1795019.79,16.7,83.3,-66.6,,D,D,0,0,0,0,80.9,-80.9,,D,DEM,2215477.85,5111387,-2895909.15,13.2,86.8,-73.6,0,D,-37,49.5,5.7,11,30.7,0.2,3,59.5,78.1,105918,10.8,-77.5,-71.62,-71,Pure urban
CA13,D,0,4633,-4633,0,100,-100,,D,D,4940,1100730.18,-1095790.18,11.5,88.5,-77,,D,D,5761,1374391.11,-1368630.11,9.2,90.8,-81.6,,D,DEM,0,1669206,-1669206,11.6,88.4,-76.8,0,D,-40,42,19.8,13.6,20.2,0.4,3.9,47.2,70.8,73601,12.2,-80.55,-78.55,-77.2,Pure urban
CA14,D,32716.61,887482.51,-854765.9,21.1,78.9,-57.8,,D,D,25019.95,841038.54,-816018.59,23.3,76.7,-53.4,,D,D,4140.06,609007.1,-604867.04,19.1,80.9,-61.8,,D,DEM,0,693324,-693324,22.5,77.5,-55,0,D,-27,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,18.4,-58.7,-50.67,-49.8,Urban-suburban mix
CA15,Open Post-Redistrict,12789,220701,-207912,0,100,-100,,D,D,24477.23,1669313.51,-1644836.28,30.2,69.8,-39.6,,D,D,632.75,1370215.24,-1369582.49,26.2,73.8,-47.6,,D,DEM,50659,2311648,-2260989,27.5,72.5,-45,0,D,-20,43.9,7,17.1,28.7,0.3,3,45,47.1,106291,23.2,-45.74,-38.18,-36.9,Urban-suburban mix
CA16,D,905486.98,1350383.69,-444896.71,42.6,57.4,-14.8,,D,D,343204.12,1116677.4,-773473.28,49.3,50.7,-1.4,,D,D,548953.25,1792362.77,-1243409.52,42,58,-16,,D,DEM,1250691,2406978.36,-1156287.36,45.5,54.5,-9,0,D,-9,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,27.1,-21.59,-19.19,-17.2,Dense suburban
CA17,D,64428.1,1028810.23,-964382.13,26.5,73.5,-47,,D,D,372286,290148,82138,0,100,-100,,D,Open-Used to be Dem,321062,174681,146381,0,100,-100,,D,DEM,2946,1865925.36,-1862979.36,24.9,75.1,-50.2,0,D,-25,34.5,3.1,14.2,45.4,0.3,2.5,57,54.4,121150,15.7,-53.43,-46.39,-41,Pure urban
CA18,D,0,1629523.88,-1629523.88,29.5,70.5,-41,,D,D,41249.25,1540092.76,-1498843.51,32.2,67.8,-35.6,,D,D,26381.26,1315754.03,-1289372.77,28.9,71.1,-42.2,,D,DEM,182669.15,1312342.54,-1129673.39,26.3,73.7,-47.4,0,D,-23,65.2,2,11.7,18.3,0.2,2.6,61.5,65.1,125790,22.7,-53.17,-39.31,-42.9,Urban-suburban mix
CA19,D,8379,626000.61,-617621.61,26.8,73.2,-46.4,,D,D,0,0,0,0,100,-100,,D,D,5500,1159112.99,-1153612.99,26.1,73.9,-47.8,,D,DEM,14666,1783440,-1768774,26.6,73.4,-46.8,0,D,-24,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,17.5,-51.41,-44.69,-38.7,Urban-suburban mix
CA20,D,6616.61,742453.98,-735837.37,25.9,74.1,-48.2,,D,D,0,0,0,0,75.2,-75.2,,D,Open-Used to be Dem,471739.39,1056641.2,-584901.81,29.2,70.8,-41.6,,D,DEM,0,698954.36,-698954.36,20.3,79.7,-59.4,0,D,-23,54.5,2.6,33.8,6,0.3,2.7,27.9,43.5,67419,30.7,-47.13,-44.7,-45.8,Urban-suburban mix
CA21,Open Post-Redistrict,1821470.9,100107.59,1721363.31,57.8,42.2,15.6,,R,R,3066442.38,1874216,1192226.38,57.8,42.2,15.6,,R,R,3715344.4,2432067.26,1283277.14,56.7,43.3,13.4,,R,DEM,3690059.82,5297442.34,-1607382.52,51.5,48.5,3,0,R,-5,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,23.3,-15.58,-11.1,-5.8,Rural-suburban mix
CA22,R,1087798.59,394817.84,692980.75,61.9,38.1,23.8,,R,R,1536605.03,0,1536605.03,72,28,44,,R,R,1372432.87,0,1372432.87,67.6,32.4,35.2,,R,GOP,11325696.92,10002896.08,1322800.84,55.1,44.9,10.2,0,R,8,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,35.3,9.49,15.01,13,Dense suburban
CA23,R,0,0,0,100,0,100,,R,R,5935084.48,8931.34,5926153.14,74.8,25.2,49.6,,R,R,8161454.49,40357.4,8121097.09,69.2,30.8,38.4,,R,GOP,7897631,98538,7799093,65.1,34.9,30.2,0,R,14,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,42.9,22.07,25.38,24.7,Dense suburban
CA24,D,5371501.05,3864749.92,1506751.13,44.9,55.1,-10.2,,D,D,490474.37,2910915.87,-2420441.5,48.1,51.9,-3.8,,D,Open-Used to be Dem,3690112.98,3863427.56,-173314.58,46.6,53.4,-6.8,,D,DEM,1562224.1,1968620.31,-406396.21,43.4,56.6,-13.2,0,D,-7,68,2.2,22.7,4.5,0.4,2.2,34,44.8,68929,37.5,-20.21,-10.97,-15.5,Sparse suburban
CA25,R,1756719.01,399501.19,1357217.82,54.8,45.2,9.6,,R,Open-Used to be GOP,131238,83045,48193,100,0,100,,R,R,3384292.36,5259810.69,-1875518.33,53.1,46.9,6.2,,R,DEM,7808621.14,22003051.03,-14194429.89,47.4,52.6,-5.2,0,D,0,52.4,8.1,29,7.7,0.3,2.5,27.8,33.3,75367,34.9,-6.68,1.81,-0.6,Dense suburban
CA26,Open Post-Redistrict,4216686.7,3189099.83,1027586.87,47.3,52.7,-5.4,,D,D,2705400.88,5513694.34,-2808293.46,48.7,51.3,-2.6,,D,D,431832.35,2027281.27,-1595448.92,39.6,60.4,-20.8,,D,DEM,314126,1732201.67,-1418075.67,39.9,60.1,-20.2,0,D,-7,57,2.1,32,6.6,0.3,2,34.1,46.3,76914,30.6,-21.84,-10.26,-15.1,Dense suburban
CA27,D,204289.12,859673.1,-655383.98,36,64,-28,,D,D,169258.9,737543.01,-568284.11,40.6,59.4,-18.8,,D,D,208248.35,821116.26,-612867.91,32.6,67.4,-34.8,,D,DEM,0,930849,-930849,20.9,79.1,-58.2,0,D,-16,33.5,5.4,24.5,34.7,0.2,1.7,40.5,53.1,71223,15.6,-37.65,-27.62,-25.5,Urban-suburban mix
CA28,D,0,1082976.5,-1082976.5,23.5,76.5,-53,,D,D,0,0,0,0,76.5,-76.5,,D,D,0,973437.67,-973437.67,22,78,-56,,D,DEM,35720,3579758,-3544038,22.6,77.4,-54.8,0,D,-23,62.1,3.3,19.9,12.1,0.2,2.5,46.2,51.6,63940,29.9,-49.8,-43.76,-43.8,Pure urban
CA29,Open Post-Redistrict,6440,709796.98,-703356.98,0,100,-100,,D,D,0,995975.27,-995975.27,25.4,74.6,-49.2,,D,D,0,0,0,0,100,-100,,D,DEM,5439,1361837,-1356398,20.3,79.7,-59.4,0,D,-29,28.3,5.4,55.3,9.4,0.3,1.2,19.2,34.5,50655,18.4,-60.94,-56.51,-51.3,Pure urban
CA30,D,263626,1125963,-862337,0,100,-100,,D,D,5065.97,1327753.62,-1322687.65,34.4,65.6,-31.2,,D,D,0,523951.14,-523951.14,27.4,72.6,-45.2,,D,DEM,0,524512,-524512,27.5,72.5,-45,0,D,-18,59.7,5.2,21,11.5,0.2,2.4,42.4,49.3,76778,30.2,-43.41,-33.17,-34.9,Urban-suburban mix
CA31,R,63701,0,63701,100,0,100,,R,Open-Used to be GOP,530432.85,3866991.88,-3336559.03,48.3,51.7,-3.4,,D,D,732791.25,2038204.87,-1305413.62,43.9,56.1,-12.2,,D,DEM,1103586,2374613.9,-1271027.9,42.5,57.5,-15,0,D,-8,35.2,12,43.3,7.2,0.3,2.1,22.7,33.7,58668,23.2,-21.09,-16.59,-14.9,Dense suburban
CA32,D,47432.69,611815.76,-564383.07,34.3,65.7,-31.4,,D,D,61035.9,304898.12,-243862.22,40.3,59.7,-19.4,,D,D,0,9774,-9774,0,100,-100,,D,DEM,5445,249745.69,-244300.69,32.6,67.4,-34.8,0,D,-17,22.6,3.5,54.3,18.1,0.3,1.3,21.4,30.6,67101,15.6,-38.87,-32.71,-27.5,Urban-suburban mix
CA33,D,518,100150,-99632,46,54,-8,,D,Open-Used to be Dem,2388431.63,2354857.4,33574.23,40.8,59.2,-18.4,,D,D,73968.91,1116571.91,-1042603,33.6,66.4,-32.8,,D,DEM,157958,935105,-777147,30.8,69.2,-38.4,0,D,-16,71.1,2.9,11,11.9,0.2,2.9,65.4,68.1,101956,22.6,-41.33,-23.83,-31.2,Urban-suburban mix
CA34,D,0,1570150.91,-1570150.91,14.4,85.6,-71.2,,D,D,0,0,0,0,100,-100,,D,D,0,0,0,0,100,-100,,D,DEM,0,1418928,-1418928,26.6,73.4,-46.8,1,D,-35,17.9,7.1,51,22.2,0.3,1.5,25.4,59.4,40847,7.2,-72.85,-68.82,-58.4,Pure urban
CA35,D,338538,3188332,-2849794,0,100,-100,,D,Open-Used to be Dem,0,0,0,0,100,-100,,D,D,3757.65,445044.07,-441286.42,27.6,72.4,-44.8,,D,DEM,3967,594020,-590053,32,68,-36,0,D,-19,21.8,8.8,59.8,7.3,0.3,2,16.1,23.8,57159,16.5,-40.79,-36.82,-31.8,Urban-suburban mix
CA36,R,4022558.64,3519958.26,502600.38,47.1,52.9,-5.8,,D,D,1374613.98,3720201.45,-2345587.47,45.8,54.2,-8.4,,D,D,362057.43,2702225.23,-2340167.8,37.9,62.1,-24.2,,D,DEM,829084,2398433.41,-1569349.41,42.9,57.1,-14.2,0,D,-2,55.8,4.6,34.4,3.1,0.6,1.5,20.6,29.8,44567,39.1,-8.74,-3.17,-3.1,Dense suburban
CA37,D,0,805095.15,-805095.15,13.6,86.4,-72.8,,D,D,14692.73,822020.87,-807328.14,15.7,84.3,-68.6,,D,D,0,0,0,0,100,-100,,D,DEM,9878,780642,-770764,11.3,88.7,-77.4,0,D,-37,32.3,29.5,25.7,10,0.2,2.4,36.9,66.6,55190,10.7,-76.05,-72.18,-71.5,Pure urban
CA38,D,21341,1104479.95,-1083138.95,32.5,67.5,-35,,D,D,7079.75,1027338.66,-1020258.91,40.9,59.1,-18.2,,D,D,0,1501063.31,-1501063.31,29.5,70.5,-41,,D,DEM,0,1366920.67,-1366920.67,32.6,67.4,-34.8,0,D,-17,22.8,4.4,55.4,15.9,0.4,1.1,23.5,25.6,66421,16.8,-39.56,-31.91,-25.9,Pure urban
CA39,R,4529475.11,1764111.73,2765363.38,57.8,42.2,15.6,,R,R,1743860.38,5208.98,1738651.4,68.5,31.5,37,,R,R,3666585.68,78025.51,3588560.17,57.2,42.8,14.4,,R,DEM,8887463.91,17593101.54,-8705637.63,50,50,0,1,D,0,39.6,2.5,27.2,28.5,0.2,2,41.6,43.7,85188,22.2,-8.61,3.66,2.1,Dense suburban
CA40,D,0,0,0,0,100,-100,,D,D,0,0,0,0,100,-100,,D,D,0,0,0,0,71.4,-71.4,,D,DEM,0,528754,-528754,22.3,77.7,-55.4,0,D,-33,8.7,7.9,79,3.7,0.2,0.5,9.8,24.6,42902,6.5,-69.45,-64.96,-57.5,Pure urban
CA41,Open Post-Redistrict,1604947.01,1529283.21,75663.8,41,59,-18,,D,D,230976.44,1312896.41,-1081919.97,43.4,56.6,-13.2,,D,D,252473.09,1010911.21,-758438.12,35,65,-30,,D,DEM,41255,1052783,-1011528,38.9,61.1,-22.2,0,D,-12,33.6,11.2,46.6,6.1,0.4,2,18.3,28.2,62069,24,-27.87,-25.2,-20.5,Dense suburban
CA42,R,847022.87,0,847022.87,60.6,39.4,21.2,,R,R,1206750.52,101404.39,1105346.13,65.7,34.3,31.4,,R,R,1276116.53,159128.08,1116988.45,58.8,41.2,17.6,,R,GOP,1551261,147714,1403547,58.9,41.1,17.8,0,R,9,52.2,5.9,30,9,0.4,2.5,25,27.4,76504,37.8,11.95,15.15,10.9,Sparse suburban
CA43,D,0,0,0,0,100,-100,,D,D,11819.14,1062921.15,-1051102.01,29,71,-42,,D,D,3196.12,1050764.92,-1047568.8,23.9,76.1,-52.2,,D,DEM,1974428.41,1304549,669879.41,23.6,76.4,-52.8,0,D,-29,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,11,-61.69,-57.99,-53.4,Pure urban
CA44,D,0,1530,-1530,0,100,-100,,D,D,0,0,0,0,86.7,-86.7,,D,Open-Used to be Dem,369138,491005,-121867,0,100,-100,,D,DEM,0,941811,-941811,30.5,69.5,-39,0,D,-35,10.9,22.5,56.8,7.8,0.3,1.7,12.3,26.5,50890,8,-70.77,-71.06,-65.2,Pure urban
CA45,R,1431706.01,754627.17,677078.84,58.5,41.5,17,,R,Open-Used to be GOP,1323769.7,122684.64,1201085.06,65.1,34.9,30.2,,R,R,1690947.44,117761.42,1573186.02,58.6,41.4,17.2,,R,DEM,10570894.44,16938166.29,-6367271.85,49.2,50.8,-1.6,0,D,3,60.9,1.9,14.2,20.4,0.2,2.5,56,56.5,97356,26.4,-5.44,11.76,4.3,Urban-suburban mix
CA46,D,129449.21,1680806.19,-1551356.98,36.1,63.9,-27.8,,D,D,15757.64,1284391.54,-1268633.9,40.3,59.7,-19.4,,D,Open-Used to be Dem,0,67571,-67571,0,100,-100,,D,DEM,0,466281,-466281,33.8,66.2,-32.4,0,D,-15,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31,61304,21.7,-38.37,-25.23,-19.2,Pure urban
